,Title,"Band Gap, HSE06","Dielectric Constant, Electronic",EBE
821,H4NGeI3,3.07,4.84,2.7143709279042594
823,H4NGeI3,2.59,4.78,2.2253869683966503
825,H4NGeI3,3.09,4.79,2.7269077718766055
827,C3H10NGeI3,2.54,4.16,2.0586052843422955
829,C3H10NGeI3,2.54,4.13,2.0515862559265767
831,C3H10NGeI3,2.83,3.84,2.265029812873944
833,C3H10NGeI3,2.56,4.0,2.039323475544627
835,C3H10NGeI3,3.19,3.82,2.6190984079873103
837,C3H10NGeI3,3.28,3.98,2.7540773975855424
839,C3H10NGeI3,3.36,3.86,2.80086925881997
841,C3H10NGeI3,3.19,4.1,2.694412588263773
843,C3H10NGeI3,3.39,3.92,2.8478545143113565
845,C3H8NGeI3,2.23,4.7,1.8528689727801733
847,C3H8NGeI3,2.32,4.73,1.9476377049338272
849,C3H8NGeI3,2.28,4.79,1.9169077718766054
851,C3H8NGeI3,2.09,4.76,1.7223165564187743
853,C3H8NGeI3,3.05,4.26,2.5909407088934087
855,C3H8NGeI3,3.06,4.33,2.6156632980449
857,C3H8NGeI3,2.98,4.43,2.5554972310031654
859,C3H8NGeI3,3.11,4.6,2.716293743322969
861,C3H8NGeI3,3.35,4.16,2.8686052843422956
863,C3H8NGeI3,3.21,4.3,2.759441622969931
865,C3H8NGeI3,3.31,4.09,2.811986215333124
867,C3H8NGeI3,2.98,4.62,2.5896950773371015
869,C3H8NGeI3,3.09,4.42,2.6635742311128983
871,C3H8NGeI3,3.2,4.16,2.7186052843422956
873,C3H8NGeI3,3.21,4.14,2.7239428929913196
875,C3H5N2GeI3,2.33,4.43,1.9054972310031657
877,C3H5N2GeI3,2.4,4.43,1.9754972310031655
879,C3H5N2GeI3,2.47,4.43,2.0454972310031656
881,C3H5N2GeI3,3.21,4.42,2.7835742311128984
883,C3H5N2GeI3,3.1,4.42,2.6735742311128985
885,C3H5N2GeI3,3.22,4.57,2.82110776727272
887,C3H5N2GeI3,3,4.39,2.567726174558768
889,C3H5N2GeI3,3.18,4.53,2.7740322114875093
891,C2H8NSnF3,5.01,2.96,4.059166317649062
893,C2H8NSnF3,4.87,3.02,3.9565724758468956
895,C2H8NSnF3,4.86,2.94,3.896185803220189
897,C2H8NSnF3,5.04,2.89,4.042547336444011
899,C2H8NSnF3,5.13,2.93,4.159595639869308
901,C2H8NSnF3,5.47,2.96,4.519166317649062
903,C2H8NSnF3,4.48,3.02,3.566572475846896
905,C2H8NSnF3,5.14,2.93,4.169595639869308
907,C2H8NSnF3,4.35,2.96,3.399166317649062
909,C2H8NSnF3,3.98,3.0,3.0543528454126694
911,C2H8NSnF3,4.86,2.84,3.82711659501017
913,C3H10NSnF3,4.85,2.8,3.787394848050258
915,C3H10NSnF3,5.04,2.89,4.042547336444011
917,C3H10NSnF3,5.17,2.84,4.13711659501017
919,C3H10NSnF3,5.14,2.89,4.142547336444011
921,C3H10NSnF3,5.1,2.89,4.102547336444011
923,C3H10NSnF3,5.08,2.9,4.0894144600135585
925,C3H10NSnF3,5.23,2.96,4.279166317649063
927,C3H10NSnF3,5.07,2.91,4.086210910205835
929,C3H10NSnF3,4.8,2.94,3.8361858032201885
931,C3H10NSnF3,5.09,2.88,4.085608556220344
933,C4H12NSnF3,5.36,2.74,4.250347861995049
935,C4H12NSnF3,5.3,2.73,4.182203653438799
937,C4H12NSnF3,4.85,2.83,3.8098041689512945
939,C4H12NSnF3,5.53,2.81,4.47494441670116
941,C3H10NSnF3,5.54,2.85,4.514352183282736
943,C3H10NSnF3,4.96,2.92,3.982937653489635
945,C3H10NSnF3,5.6,2.83,4.5598041689512945
947,C3H10NSnF3,5.58,2.85,4.554352183282736
949,C3H10NSnF3,5.19,2.9,4.199414460013559
951,C3H10NSnF3,5.4,2.88,4.395608556220345
953,C3H10NSnF3,5.16,2.83,4.119804168951295
955,C3H10NSnF3,5.12,2.91,4.136210910205834
957,C3H10NSnF3,5.37,2.81,4.3149444167011595
959,C2H8NSnF3,4.86,3.0,3.9343528454126697
961,C2H8NSnF3,4.89,3.02,3.976572475846895
